id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C3_name,distance_expectedC3,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710ee9e58646,25,Female,32,yes,twoColorsObj,#FF0000,#00FF00,#FFFF00,152,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5712c1176d5f8,23,Male,3,no,twoColorsObj,#FF0000,#00FF00,#c9b2a2,394,4,Green    ,0.15,0.15,0.15,0.11,0.15,0.15
5710d140b7c5a,26,Male,32,no,twoColorsObj,#FF0000,#00FF00,#FF8080,56,3,Green    ,0.15,0.15,0.13,0.1,0.15,0.14
5712bd55a8a13,27,Female,32,no,twoColorsObj,#FF0000,#00FF00,#D7A700,17,1,Green    ,0.08,0.08,0.06,0.03,0.08,0.06
5710ee3fd83e6,23,Male,7,no,twoColorsObj,#FF0000,#00FF00,#008080,152,2,Green    ,0.19,0.19,0.22,0.18,0.2,0.21
5710e60f69205,24,Female,31,no,twoColorsObj,#FF0000,#00FF00,#808080,550,1,Green    ,0.16,0.16,0.17,0.14,0.17,0.17
571252b436ab0,22,Male,2,no,twoColorsObj,#FF0000,#00FF00,#808080,814,1,Green    ,0.16,0.16,0.17,0.14,0.17,0.17
571130d934bda,22,Female,32,no,twoColorsObj,#FF0000,#00FF00,#D7A700,695,1,Green    ,0.08,0.08,0.06,0.03,0.08,0.06
573ec4275ba17,24,Female,32,yes,twoColorsObj,#FF0000,#00FF00,#B000FF,353,2,Pink     ,0.32,0.32,0.32,0.29,0.33,0.32
573edae85268b,27,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#B000FF,1140,2,Pink     ,0.32,0.32,0.32,0.29,0.33,0.32
57459c393bbd0,29,Male,31,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,386,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
571260c120253,22,Male,32,no,twoColorsObj,#FF0000,#00FF00,#c9ab00,435,3,Green    ,0.07,0.07,0.05,0.02,0.07,0.06
5710dc0f49c60,22,Male,11,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,1057,5,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
571151812791a,20,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#c9b2a2,110,2,Green    ,0.15,0.15,0.15,0.11,0.15,0.15
574297edae49c,24,Male,32,no,twoColorsObj,#FF0000,#00FF00,#D7A700,573,1,Green    ,0.08,0.08,0.06,0.03,0.08,0.06
57112da850667,22,Female,47,no,twoColorsObj,#FF0000,#00FF00,#8000FF,129,1,Purple   ,0.35,0.35,0.36,0.32,0.36,0.36
57127bcfaafb0,22,Female,32,no,twoColorsObj,#FF0000,#00FF00,#ffa100,163,2,Yellow   ,0.11,0.11,0.07,0.05,0.1,0.08
5745500f6e643,24,Female,32,no,twoColorsObj,#FF0000,#00FF00,#808000,111,2,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
571158157bb3c,20,Male,4,no,twoColorsObj,#FF0000,#00FF00,#808000,1585,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5712197fbccd5,24,Female,32,no,twoColorsObj,#FF0000,#00FF00,#FF6F00,31,2,Yellow   ,0.14,0.14,0.1,0.09,0.13,0.11
5710d9dcc23f0,21,Male,18,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,441,5,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
571137a34931a,27,Female,25,no,twoColorsObj,#FF0000,#00FF00,#808000,42,2,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5711641931da5,20,Female,32,no,twoColorsObj,#FF0000,#00FF00,#c9ab00,25,3,Green    ,0.07,0.07,0.05,0.02,0.07,0.06
5710d71ff24c3,20,Female,32,no,twoColorsObj,#FF0000,#00FF00,#c9ab00,111,5,Green    ,0.07,0.07,0.05,0.02,0.07,0.06
57451c3b38192,23,Female,32,no,twoColorsObj,#FF0000,#00FF00,#808000,8,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
572c85675a5ef,23,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#FFFF00,11,5,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5710cc5a7829c,27,Male,32,no,twoColorsObj,#FF0000,#00FF00,#FF0050,574,2,Magenta  ,0.19,0.19,0.15,0.13,0.18,0.16
5711cbde51bb0,24,Male,31,no,twoColorsObj,#FF0000,#00FF00,#ffa100,621,4,Yellow   ,0.11,0.11,0.07,0.05,0.1,0.08
5713fc80c942a,23,Female,32,no,twoColorsObj,#FF0000,#00FF00,#c9b2a2,35,3,Green    ,0.15,0.15,0.15,0.11,0.15,0.15
57123bec83e8e,21,Male,32,no,twoColorsObj,#FF0000,#00FF00,#808000,620,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5713aa57bebec,24,Female,12,no,twoColorsObj,#FF0000,#00FF00,#c9ab00,446,4,Green    ,0.07,0.07,0.05,0.02,0.07,0.06
57112da850667,22,Female,47,no,twoColorsObj,#FF0000,#00FF00,#8080FF,261,3,Blue     ,0.29,0.29,0.3,0.26,0.3,0.3
5734918f46823,26,Male,32,no,twoColorsObj,#FF0000,#00FF00,#FB0080,352,1,Pink     ,0.2,0.2,0.17,0.15,0.2,0.18
57121e2a63601,21,Male,31,no,twoColorsObj,#FF0000,#00FF00,#FFFFFF,0,1,Green    ,0.16,0.16,0.17,0.14,0.17,0.17
57581518c2c07,25,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#430096,76,3,Purple   ,0.36,0.36,0.37,0.33,0.37,0.37
57113a5534205,22,Male,31,no,twoColorsObj,#FF0000,#00FF00,#c9b2a2,495,1,Green    ,0.15,0.15,0.15,0.11,0.15,0.15
57112a657ac25,20,Female,24,no,twoColorsObj,#FF0000,#00FF00,#91c01d,15,3,Green    ,0.04,0.04,0.07,0.05,0.05,0.06
5727633cd6511,25,Male,11,no,twoColorsObj,#FF0000,#00FF00,#91c01d,565,1,Green    ,0.04,0.04,0.07,0.05,0.05,0.06
5757ffca0b4b1,24,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#FF6700,109,2,Yellow   ,0.15,0.15,0.1,0.09,0.14,0.12
5735d3455a84c,29,Male,32,no,twoColorsObj,#FF0000,#00FF00,#808000,531,1,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5713a02a13044,24,Female,32,yes,twoColorsObj,#FF0000,#00FF00,#808000,12,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5757fd2703090,22,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#FFFFFF,99,1,Green    ,0.16,0.16,0.17,0.14,0.17,0.17
57122801e1da9,23,Male,17,no,twoColorsObj,#FF0000,#00FF00,#c9ab00,19,1,Green    ,0.07,0.07,0.05,0.02,0.07,0.06
571410751e7b0,22,Female,12,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,384,2,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
57123e4050550,20,Female,40,no,twoColorsObj,#FF0000,#00FF00,#808000,270,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
57277ba3c5a5c,20,Male,8,no,twoColorsObj,#FF0000,#00FF00,#D7A700,129,1,Green    ,0.08,0.08,0.06,0.03,0.08,0.06
5710ce6c1308c,23,Female,32,no,twoColorsObj,#FF0000,#00FF00,#808000,1041,1,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5711ace2ee7ed,24,Male,32,no,twoColorsObj,#FF0000,#00FF00,#FF8000,1343,3,Yellow   ,0.13,0.13,0.09,0.07,0.12,0.1
5710ceb320fdf,23,Male,15,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,738,4,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
57113163e6fb1,20,Female,10,no,twoColorsObj,#FF0000,#00FF00,#0000FF,305,3,Purple   ,0.39,0.39,0.41,0.37,0.4,0.4
5738cf3d97a58,23,Male,32,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,296,4,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5710cbe10cade,21,Male,15,no,twoColorsObj,#FF0000,#00FF00,#B1FF00,226,3,Green    ,0.03,0.03,0.08,0.05,0.05,0.06
5711231e370f2,24,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#D7A700,18,4,Green    ,0.08,0.08,0.06,0.03,0.08,0.06
572767049ccfa,24,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#D9FF00,201,4,Green    ,0.04,0.04,0.06,0.03,0.05,0.05
5713923c1bbc7,24,Female,27,no,twoColorsObj,#FF0000,#00FF00,#c9b2a2,676,2,Green    ,0.15,0.15,0.15,0.11,0.15,0.15
57138ac176750,21,Male,7,no,twoColorsObj,#FF0000,#00FF00,#ffa100,940,3,Yellow   ,0.11,0.11,0.07,0.05,0.1,0.08
57113e6176346,23,Female,30,no,twoColorsObj,#FF0000,#00FF00,#808000,408,4,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
57123e4050550,20,Female,40,no,twoColorsObj,#FF0000,#00FF00,#808000,281,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
573a0b8280839,29,Male,21,yes,twoColorsObj,#FF0000,#00FF00,#998077,384,3,Green    ,0.15,0.15,0.15,0.11,0.15,0.15
57276731cfba9,20,Male,5,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,27,5,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
57119224388ef,24,Male,31,no,twoColorsObj,#FF0000,#00FF00,#FF9F00,42,5,Yellow   ,0.11,0.11,0.07,0.05,0.1,0.08
57111f6c42412,22,Male,34,no,twoColorsObj,#FF0000,#00FF00,#FB0080,177,3,Pink     ,0.2,0.2,0.17,0.15,0.2,0.18
571243bcc8142,24,Male,12,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,436,5,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5710cd99df604,23,Female,32,no,twoColorsObj,#FF0000,#00FF00,#FF8000,123,4,Yellow   ,0.13,0.13,0.09,0.07,0.12,0.1
5710cf445718e,25,Male,32,no,twoColorsObj,#FF0000,#00FF00,#7f00ff,116,3,Purple   ,0.35,0.35,0.36,0.32,0.36,0.36
5756b2d9bd658,23,Female,32,yes,twoColorsObj,#FF0000,#00FF00,#998077,249,4,Green    ,0.15,0.15,0.15,0.11,0.15,0.15
573e4022949b1,24,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#B000FF,334,2,Pink     ,0.32,0.32,0.32,0.29,0.33,0.32
5712c57f97f25,25,Female,31,no,twoColorsObj,#FF0000,#00FF00,#808080,30,2,Green    ,0.16,0.16,0.17,0.14,0.17,0.17
57582b17cd76a,26,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#AF0049,724,2,Magenta  ,0.19,0.19,0.16,0.14,0.19,0.17
5756ae6897296,21,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#978900,206,5,Green    ,0.06,0.06,0.05,0.02,0.06,0.05
571245f0af12d,21,Male,3,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,360,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
571214121717c,22,Male,32,no,twoColorsObj,#FF0000,#00FF00,#c9ab00,225,2,Green    ,0.07,0.07,0.05,0.02,0.07,0.06
5711300507308,21,Female,13,no,twoColorsObj,#FF0000,#00FF00,#808080,115,1,Green    ,0.16,0.16,0.17,0.14,0.17,0.17
5710cbc5f0ea4,23,Male,32,no,twoColorsObj,#FF0000,#00FF00,#7d93a6,314,2,Blue     ,0.19,0.19,0.2,0.17,0.2,0.2
571103343658b,20,Female,32,no,twoColorsObj,#FF0000,#00FF00,#c9ab00,48,2,Green    ,0.07,0.07,0.05,0.02,0.07,0.06
573e47c26cb8e,24,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#D9FF00,171,3,Green    ,0.04,0.04,0.06,0.03,0.05,0.05
5714c6c26c2f6,21,Male,11,no,twoColorsObj,#FF0000,#00FF00,#808000,40,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
5713dd915ca28,24,Female,20,no,twoColorsObj,#FF0000,#00FF00,#FFFFFF,0,0,Green    ,0.16,0.16,0.17,0.14,0.17,0.17
571130c5cd6e9,24,Female,32,no,twoColorsObj,#FF0000,#00FF00,#FF6F00,434,4,Yellow   ,0.14,0.14,0.1,0.09,0.13,0.11
5756ab1701ba0,21,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#768F00,105,3,Green    ,0.04,0.04,0.07,0.04,0.05,0.05
57113de4aed1a,21,Male,31,no,twoColorsObj,#FF0000,#00FF00,#0000FF,80,3,Purple   ,0.39,0.39,0.41,0.37,0.4,0.4
573e4d0eb795b,24,Male,32,yes,twoColorsObj,#FF0000,#00FF00,#D9FF00,166,4,Green    ,0.04,0.04,0.06,0.03,0.05,0.05
5712c2b021f58,22,Female,32,no,twoColorsObj,#FF0000,#00FF00,#808000,459,3,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
571247f66fb51,27,Male,32,no,twoColorsObj,#FF0000,#00FF00,#FFFF00,58,5,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
57116b9b879bf,20,Male,32,no,twoColorsObj,#FF0000,#00FF00,#91c01d,165,2,Green    ,0.04,0.04,0.07,0.05,0.05,0.06
572106a31c230,24,Male,16,no,twoColorsObj,#FF0000,#00FF00,#c9ab00,637,3,Green    ,0.07,0.07,0.05,0.02,0.07,0.06
57113b7f16c4b,22,Male,31,no,twoColorsObj,#FF0000,#00FF00,#808000,381,4,Green    ,0.05,0.05,0.06,0.02,0.06,0.05
