id,age,gender,num_answers,in_person,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC3_blue,distance_expectedC3_orange,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5710cbc5f0ea4,23,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,5,0.23,0.2,0.23,0.2,0.23,0.03,0
5710cbe10cade,21,Male,15,no,twoColorsObj,#00FF00,#FF00FF,#aeff00,346,2,0.36,0.16,0.36,0.16,0.2,0.12,0.13
5710cc2b8a642,24,Male,16,no,twoColorsObj,#00FF00,#FF00FF,#800080,167,2,0.16,0.26,0.16,0.26,0.28,0.12,0.11
5710cc5a7829c,27,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,459,3,0.36,0.15,0.36,0.15,0.19,0.11,0.12
5710ceb320fdf,23,Male,15,no,twoColorsObj,#00FF00,#FF00FF,#FF0080,170,2,0.28,0.14,0.28,0.14,0.16,0.09,0.11
5710cf445718e,25,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,201,3,0.26,0.18,0.26,0.18,0.21,0.01,0.02
5710d140b7c5a,26,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FF0000,58,3,0.37,0.07,0.37,0.07,0.07,0.15,0.18
5710d28fec2d1,30,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#8080FF,518,1,0.11,0.32,0.11,0.32,0.34,0.15,0.13
5710d9dcc23f0,21,Male,18,no,twoColorsObj,#00FF00,#FF00FF,#808000,15,1,0.35,0.13,0.35,0.13,0.16,0.1,0.12
5710dc97aac05,20,Male,6,no,twoColorsObj,#00FF00,#FF00FF,#800080,332,1,0.16,0.26,0.16,0.26,0.28,0.12,0.11
5711106ab212a,33,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,8,3,0.35,0.13,0.35,0.13,0.16,0.1,0.12
5711148c11035,35,Male,22,no,twoColorsObj,#00FF00,#FF00FF,#FF9F00,103,2,0.35,0.08,0.35,0.08,0.11,0.1,0.13
57111f6c42412,22,Male,34,no,twoColorsObj,#00FF00,#FF00FF,#0080FF,89,3,0.08,0.35,0.08,0.35,0.37,0.18,0.16
5711231e370f2,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#FF6755,1375,2,0.32,0.09,0.32,0.09,0.12,0.09,0.12
571123dc69a60,21,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#ffa6a6,252,1,0.27,0.16,0.27,0.16,0.18,0.03,0.05
57112e1a2bbbb,32,Male,16,no,twoColorsObj,#00FF00,#FF00FF,#808000,342,1,0.35,0.13,0.35,0.13,0.16,0.1,0.12
57112e639a100,18,Male,5,no,twoColorsObj,#00FF00,#FF00FF,#FF8000,664,4,0.35,0.07,0.35,0.07,0.1,0.11,0.14
5711338142ff8,23,Male,5,no,twoColorsObj,#00FF00,#FF00FF,#c4ff9e,230,4,0.3,0.18,0.3,0.18,0.21,0.05,0.06
57113a4121a89,19,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#808000,103,1,0.35,0.13,0.35,0.13,0.16,0.1,0.12
57113a5534205,22,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#808080,354,4,0.23,0.2,0.23,0.2,0.23,0.03,0
57113b7f16c4b,22,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,740,3,0.36,0.15,0.36,0.15,0.19,0.11,0.12
57113de4aed1a,21,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#00FF80,123,2,0.32,0.21,0.32,0.21,0.25,0.1,0.11
57114d8a4c057,22,Male,9,no,twoColorsObj,#00FF00,#FF00FF,#808000,41,3,0.35,0.13,0.35,0.13,0.16,0.1,0.12
571151812791a,20,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#808080,239,3,0.23,0.2,0.23,0.2,0.23,0.03,0
57115317eb242,22,Male,2,no,twoColorsObj,#00FF00,#FF00FF,#FF8080,513,3,0.29,0.13,0.29,0.13,0.15,0.06,0.08
571153ca15566,32,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,56,3,0.35,0.11,0.35,0.11,0.14,0.09,0.12
57116b9b879bf,20,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FB0080,450,4,0.28,0.14,0.28,0.14,0.16,0.09,0.11
57119224388ef,24,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#ffa100,16,5,0.35,0.08,0.35,0.08,0.11,0.1,0.13
5711ace2ee7ed,24,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,677,2,0.26,0.18,0.26,0.18,0.21,0.01,0.02
5711cbde51bb0,24,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,312,2,0.35,0.11,0.35,0.11,0.14,0.09,0.12
57120d338509d,28,Male,2,no,twoColorsObj,#00FF00,#FF00FF,#5792ff,669,3,0.11,0.32,0.11,0.32,0.34,0.15,0.13
571210e10d88b,23,Male,19,no,twoColorsObj,#00FF00,#FF00FF,#00ffb7,1290,2,0.27,0.23,0.27,0.23,0.26,0.08,0.07
571214121717c,22,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#ca0088,292,2,0.23,0.19,0.23,0.19,0.2,0.09,0.09
57121e2a63601,21,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#c4ff9e,3,1,0.3,0.18,0.3,0.18,0.21,0.05,0.06
57123bec83e8e,21,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FF0000,52,2,0.37,0.07,0.37,0.07,0.07,0.15,0.18
571243bcc8142,24,Male,12,no,twoColorsObj,#00FF00,#FF00FF,#808080,213,2,0.23,0.2,0.23,0.2,0.23,0.03,0
571247f66fb51,27,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,106,5,0.23,0.2,0.23,0.2,0.23,0.03,0
571260c120253,22,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#808000,106,2,0.35,0.13,0.35,0.13,0.16,0.1,0.12
57127cb3ab1fe,1,Male,12,no,twoColorsObj,#00FF00,#FF00FF,#c6aeff,714,1,0.17,0.25,0.17,0.25,0.28,0.09,0.06
5713b10383207,40,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#00FFFF,475,2,0.21,0.26,0.21,0.26,0.29,0.09,0.06
5713b961c216a,647,Male,11,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,0,5,0.23,0.2,0.23,0.2,0.23,0.03,0
5713d766113e9,21,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#0080FF,41,3,0.08,0.35,0.08,0.35,0.37,0.18,0.16
5713e73998df9,25,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#800080,156,2,0.16,0.26,0.16,0.26,0.28,0.12,0.11
57142079d871e,51,Male,8,no,twoColorsObj,#00FF00,#FF00FF,#5792ff,3,1,0.11,0.32,0.11,0.32,0.34,0.15,0.13
5714c6c26c2f6,21,Male,11,no,twoColorsObj,#00FF00,#FF00FF,#008080,738,3,0.21,0.26,0.21,0.26,0.29,0.09,0.06
571534076a966,52,Male,9,no,twoColorsObj,#00FF00,#FF00FF,#FF0050,1432,3,0.33,0.1,0.33,0.1,0.11,0.12,0.15
57190633f233f,30,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#91c01d,182,3,0.36,0.15,0.36,0.15,0.19,0.11,0.12
572106a31c230,24,Male,16,no,twoColorsObj,#00FF00,#FF00FF,#808080,264,3,0.23,0.2,0.23,0.2,0.23,0.03,0
5727633cd6511,25,Male,11,no,twoColorsObj,#00FF00,#FF00FF,#008080,73,1,0.21,0.26,0.21,0.26,0.29,0.09,0.06
5727635041e99,38,Male,5,no,twoColorsObj,#00FF00,#FF00FF,#FFFF00,300,2,0.35,0.13,0.35,0.13,0.16,0.1,0.12
572767049ccfa,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#7E7E7E,156,4,0.23,0.2,0.23,0.2,0.23,0.03,0
5727d86840dc8,37,Male,7,no,twoColorsObj,#00FF00,#FF00FF,#FFFFFF,301,3,0.23,0.2,0.23,0.2,0.23,0.03,0
5727e49793f7b,22,Male,10,no,twoColorsObj,#00FF00,#FF00FF,#00FFFF,112,2,0.21,0.26,0.21,0.26,0.29,0.09,0.06
572a7874c1e2e,19,Male,6,no,twoColorsObj,#00FF00,#FF00FF,#aeff00,1,5,0.36,0.16,0.36,0.16,0.2,0.12,0.13
572c85675a5ef,23,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#c9ab00,66,1,0.35,0.11,0.35,0.11,0.14,0.09,0.12
5734918f46823,26,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FF0050,83,1,0.33,0.1,0.33,0.1,0.11,0.12,0.15
5734b3efd45eb,26,Male,4,no,twoColorsObj,#00FF00,#FF00FF,#ca0088,456,2,0.23,0.19,0.23,0.19,0.2,0.09,0.09
5735d3455a84c,29,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,447,1,0.35,0.11,0.35,0.11,0.14,0.09,0.12
5736048bb110b,19,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#D7A700,206,5,0.35,0.1,0.35,0.1,0.13,0.09,0.12
573613f4689a3,18,Male,7,no,twoColorsObj,#00FF00,#FF00FF,#808000,593,1,0.35,0.13,0.35,0.13,0.16,0.1,0.12
573634984323e,19,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,325,3,0.26,0.18,0.26,0.18,0.21,0.01,0.02
573664e1a4a96,49,Male,18,no,twoColorsObj,#00FF00,#FF00FF,#8080FF,188,1,0.11,0.32,0.11,0.32,0.34,0.15,0.13
57366c199283c,19,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#FF8000,215,2,0.35,0.07,0.35,0.07,0.1,0.11,0.14
5738cf3d97a58,23,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#0000FF,123,2,0,0.42,0,0.42,0.44,0.26,0.23
573c70dabcfe0,49,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#9700FF,74,2,0.07,0.35,0.07,0.35,0.37,0.19,0.17
573e4022949b1,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#8342FF,99,2,0.07,0.35,0.07,0.35,0.37,0.19,0.17
573e47c26cb8e,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#CDB196,222,1,0.27,0.17,0.27,0.17,0.2,0.01,0.04
573e4d0eb795b,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#D9FF00,166,2,0.36,0.14,0.36,0.14,0.18,0.11,0.12
573edae85268b,27,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#9700FF,466,2,0.07,0.35,0.07,0.35,0.37,0.19,0.17
5740ad339507d,40,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#006C84,14,3,0.16,0.29,0.16,0.29,0.31,0.11,0.08
5740b0f8e9734,62,Male,33,yes,twoColorsObj,#00FF00,#FF00FF,#9C0083,596,5,0.19,0.23,0.19,0.23,0.25,0.1,0.1
5740b686127bb,32,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#768F00,167,4,0.36,0.15,0.36,0.15,0.18,0.11,0.12
574297edae49c,24,Male,32,no,twoColorsObj,#00FF00,#FF00FF,#c9ab00,145,2,0.35,0.11,0.35,0.11,0.14,0.09,0.12
57459c393bbd0,29,Male,31,no,twoColorsObj,#00FF00,#FF00FF,#808000,33,3,0.35,0.13,0.35,0.13,0.16,0.1,0.12
5745f6f039dc9,15,Male,33,no,twoColorsObj,#00FF00,#FF00FF,#c9b2a2,556,1,0.26,0.18,0.26,0.18,0.21,0.01,0.02
574859b8f3379,30,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#3F0091,395,3,0.04,0.38,0.04,0.38,0.4,0.22,0.2
5756ab1701ba0,21,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#998077,901,2,0.26,0.18,0.26,0.18,0.2,0,0.03
5756ae6897296,21,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#9200FF,186,4,0.07,0.35,0.07,0.35,0.37,0.2,0.18
5757fd2703090,22,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#7100FF,288,3,0.04,0.38,0.04,0.38,0.4,0.22,0.2
5757ffca0b4b1,24,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#AF0049,345,3,0.31,0.12,0.31,0.12,0.13,0.11,0.13
57581518c2c07,25,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#006EFF,20,4,0.06,0.37,0.06,0.37,0.39,0.2,0.18
57582b17cd76a,26,Male,32,yes,twoColorsObj,#00FF00,#FF00FF,#749300,310,1,0.36,0.15,0.36,0.15,0.19,0.11,0.13
